X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,MALICIOUS_OFFENSE
0,0.6923076923,0.6538461538,0.2,0.2,0.2631578947,0.3333333333,0.0101010101,1,0.01111111111,0.5240963855,0.01111111111,0.7931034483,0.2042253521,0.72,0
0.1428571429,0.7115384615,0.7115384615,0,0,0.5789473684,0.9444444444,0.0101010101,1,0.01111111111,0.7108433735,0.01111111111,0.8879310345,1,0.68,1
0,0.05769230769,0.03846153846,0.3,1,0.05263157895,0,0.0202020202,0.5,0.01111111111,0.5240963855,0.01111111111,0.9482758621,0.6549295775,0.68,1
0,0.6346153846,0.6153846154,0.2,0.2,0.3684210526,0.05555555556,0.0101010101,1,0.01111111111,0.75,0.01111111111,0.6206896552,0.2042253521,0.68,1
0,0.6346153846,0.6153846154,0.2,0.2,0.4210526316,0.1666666667,0,0.8333333333,0.01111111111,0.5240963855,0,0.9655172414,0.2042253521,0.86,1
0,0.8653846154,0.8653846154,1,0.6,0.05263157895,0,0.0101010101,1,0.01111111111,0.9126506024,0.01111111111,0.6206896552,0.4366197183,0.68,1
0,0.5769230769,0.6730769231,0.7,0.6,0.3684210526,0.05555555556,0,0.8333333333,0.01111111111,0.5240963855,0,0.9655172414,0.2042253521,0.86,1
0,0.1538461538,0.1346153846,0.7,0.6,0.4736842105,0.4444444444,0,0.8333333333,0.01111111111,0.9518072289,0.01111111111,0.6206896552,0.4366197183,0.68,1
0,0.9423076923,0.9423076923,0.6,1,0.4210526316,0.1666666667,0.0101010101,0.1666666667,0.01111111111,0.9518072289,0.01111111111,0.8879310345,0.0985915493,0.68,1
0.1428571429,0.07692307692,0.07692307692,0.6,1,0.7894736842,0.5555555556,0,0.8333333333,0.02222222222,0.436746988,0.01111111111,0.8879310345,0.2042253521,0.68,0
0.1428571429,0.07692307692,0.07692307692,0.6,1,0.7894736842,0.5555555556,0.0101010101,1,0.01111111111,0.5240963855,0.01111111111,0.8879310345,0.9154929577,0.68,1
