Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),red,blue white,white,yellowish white,pale yellow orange,blue,blue-white,whitish,yellow-white,orange,white-yellow,yellowish,orange-red,O,B,A,F,G,K,M,Star type
0.0767,0.000000002825457371,0.00008724659995,0.8767979987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.07605,0.0000000005886369523,0.00007913779831,0.8918073796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.065,0.0000000003531821714,0.00005234795997,0.9574734209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.07,0.0000000002354547809,0.00008211444701,0.8933708568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.048475,0.0000000001624637988,0.00005286117526,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.071,0.000000000765228038,0.00005645368232,0.9036898061,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.065925,0.0000000008594099503,0.00006517834231,0.9111944966,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.065,0.0000000004709095618,0.00004926866821,0.9168230144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.06625,0.0000000008123189941,0.00005645368232,0.9183864916,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0675,0.0000000002119093028,0.0000667179882,0.8746091307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.09,0.000000003414094323,0.0002617397998,0.7070043777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.078225,0.00000001436274164,0.000193020272,0.7414008755,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.07835,0.0000000004709095618,0.0001005901976,0.7858036273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0907,0.000000006475006475,0.0002016936105,0.7004377736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.06625,0.0000000007063643427,0.00007185014113,0.7411507192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0835,0.000000004473640837,0.0001231716705,0.7814258912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.069975,0.000000002119093028,0.00008211444701,0.8352095059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0923,0.00000000432059523,0.0002412111881,0.7104440275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0798,0.000000004261731534,0.0001009494483,0.7958098812,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.086025,0.00000004591368228,0.0001801385681,0.722326454,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.625,0.00000006592733865,0.000004311008468,0.703564728,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
0.1935,0.0000000005768642132,0.000006333076726,0.8111319575,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
0.1805,0.0000000002001365638,0.000005645368232,0.8176985616,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
0.2125,0.0000000005886369523,0.000005132152938,0.8261413383,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
0.4125,0.00000001530456076,0.000007185014113,0.7445278299,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
0.32475,0.0000000001000682819,0.000005050038491,0.7551594747,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
