type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,0.4402515723,0.1708860759,0.2168674699,0.3145896657,0.0736497545,0.1557093426,0.3863636364,0.9634449171,0.7481296758,0.225,0.5906040268,6
0,0.3962264151,0.1898734177,0.2048192771,0.02431610942,0.08019639935,0.04844290657,0.3,0.9567075401,0.8229426434,0.245,0.6375838926,6
0,0.5094339623,0.1772151899,0.2409638554,0.1048632219,0.08183306056,0.1038062284,0.2204545455,0.9577662708,0.812967581,0.22,0.677852349,6
0,0.4528301887,0.1455696203,0.1927710843,0.1291793313,0.09492635025,0.1626297578,0.4227272727,0.958247512,0.7955112219,0.2,0.6644295302,6
0,0.4528301887,0.1455696203,0.1927710843,0.1291793313,0.09492635025,0.1626297578,0.4227272727,0.958247512,0.7955112219,0.2,0.6644295302,6
0,0.5094339623,0.1772151899,0.2409638554,0.1048632219,0.08183306056,0.1038062284,0.2204545455,0.9577662708,0.812967581,0.22,0.677852349,6
0,0.3899371069,0.2025316456,0.09638554217,0.1063829787,0.0736497545,0.1038062284,0.3090909091,0.9575737743,0.7930174564,0.235,0.644295302,6
0,0.4402515723,0.1708860759,0.2168674699,0.3145896657,0.0736497545,0.1557093426,0.3863636364,0.9634449171,0.7481296758,0.225,0.5906040268,6
0,0.3962264151,0.1898734177,0.2048192771,0.02431610942,0.08019639935,0.04844290657,0.3,0.9567075401,0.8229426434,0.245,0.6375838926,6
0,0.5094339623,0.1392405063,0.2590361446,0.02279635258,0.07201309329,0.09688581315,0.2931818182,0.9565150436,0.8029925187,0.225,0.7382550336,6
0,0.5094339623,0.1708860759,0.2469879518,0.02203647416,0.05400981997,0.03806228374,0.1431818182,0.9536275963,0.7456359102,0.28,0.8053691275,5
0,0.5408805031,0.1455696203,0.2409638554,0.06382978723,0.05728314239,0.05882352941,0.2477272727,0.9573812778,0.783042394,0.265,0.6510067114,5
0,0.4968553459,0.1139240506,0.2228915663,0.01823708207,0.06546644845,0.0553633218,0.1704545455,0.9547825752,0.7930174564,0.315,0.7248322148,5
0,0.4150943396,0.1012658228,0.2409638554,0.02279635258,0.07201309329,0.1660899654,0.325,0.9540125893,0.8827930175,0.26,0.8322147651,7
0,0.5220125786,0.2658227848,0.3734939759,0.2925531915,0.06546644845,0.1418685121,0.3909090909,0.9626749312,0.7431421446,0.335,0.6510067114,5
0,0.4150943396,0.1075949367,0.2289156627,0.02279635258,0.05237315876,0.09688581315,0.2545454545,0.9542050858,0.8104738155,0.275,0.7651006711,7
0,0.3962264151,0.3037974684,0.02409638554,0.01671732523,0.07528641571,0.1038062284,0.225,0.9555525612,0.8079800499,0.18,0.644295302,6
0,0,0.417721519,0.2891566265,0.01823708207,0.04746317512,0.1003460208,0.1704545455,0.9520876244,0.8304239401,0.195,0.8590604027,8
0,0.465408805,0.2151898734,0.2530120482,0.01671732523,0.05400981997,0.05882352941,0.3886363636,0.9544938305,0.7780548628,0.265,0.7583892617,6
0,0.4088050314,0.1962025316,0.0843373494,0.1139817629,0.07201309329,0.1176470588,0.3022727273,0.9581512637,0.8029925187,0.25,0.6375838926,5
0,0.3899371069,0.417721519,0.2891566265,0.01823708207,0.04746317512,0.1003460208,0.1704545455,0.9520876244,0.8304239401,0.195,0.8590604027,8
0,0.4025157233,0.1962025316,0.2289156627,0.04407294833,0.06219312602,0.06574394464,0.2318181818,0.9540125893,0.7905236908,0.175,0.7382550336,7
0,0.427672956,0.164556962,0.2530120482,0.02583586626,0.08019639935,0.1418685121,0.2772727273,0.9557450577,0.8653366584,0.24,0.7046979866,8
0,0.4779874214,0.4240506329,0.0843373494,0.02279635258,0.1211129296,0.08650519031,0.3818181818,0.9564187954,0.7605985037,0.255,0.6241610738,5
0,0.4150943396,0.1708860759,0.2469879518,0.01975683891,0.08510638298,0.0553633218,0.3227272727,0.9577662708,0.8528678304,0.235,0.6711409396,6
0,0.4402515723,0.1582278481,0.1927710843,0.1367781155,0.07528641571,0.1937716263,0.5568181818,0.9581512637,0.8104738155,0.25,0.6979865772,6
0,0.4339622642,0.1518987342,0.2108433735,0.01519756839,0.08510638298,0.1211072664,0.3318181818,0.9557450577,0.8603491272,0.22,0.6711409396,6
0,0.4402515723,0.1772151899,0.234939759,0.132218845,0.08346972177,0.1107266436,0.3204545455,0.9587287532,0.8428927681,0.265,0.7046979866,6
0,0.465408805,0.1708860759,0.2891566265,0.01671732523,0.07692307692,0.05882352941,0.3,0.9542050858,0.7955112219,0.245,0.7785234899,6
0,0.4528301887,0.2025316456,0.2168674699,0.03039513678,0.05400981997,0.1280276817,0.2590909091,0.9534350998,0.7730673317,0.355,0.8255033557,7
0,0.534591195,0.1518987342,0.234939759,0.1580547112,0.07201309329,0.06920415225,0.3227272727,0.9599799804,0.7980049875,0.265,0.6711409396,6
0,0.5220125786,0.08860759494,0.2048192771,0.01671732523,0.06873977087,0.02422145329,0.1068181818,0.9561300506,0.8653366584,0.2,0.6845637584,6
0,0.465408805,0.1582278481,0.2168674699,0.0311550152,0.08183306056,0.107266436,0.2272727273,0.9547825752,0.7955112219,0.22,0.7248322148,6
0,0.3899371069,0.07594936709,0.2048192771,0,0.0736497545,0.1487889273,0.2659090909,0.9566112918,0.8528678304,0.255,0.6040268456,6
0,0.3647798742,0.1708860759,0.1204819277,0.2272036474,0.07201309329,0.07612456747,0.4068181818,0.9588250014,0.8403990025,0.185,0.6845637584,5
0,0.4591194969,0.1772151899,0.2590361446,0.02583586626,0.1309328969,0.07266435986,0.2795454545,0.9533388516,0.7955112219,0.21,0.8590604027,5
